pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,label
-12539.236835220596,-543.3667641607819,-169.06098843180982,-700.9578758637936,-13.005099785797398,59.536994104341055,1
-7625.734217407357,-567.2604003638507,-139.9776626452502,-751.9128017050085,3.1837178117090934,-42.117963468033444,0
10382.989135793194,1499.0765827458845,-217.15785136667662,575.9506491005284,-41.64663821829635,-424.1411978287538,0
12097.933704702007,851.1691711643756,-117.80746482328226,-282.26817112636013,-20.696093575698313,-74.30174818737422,1
-9543.422561204277,-454.40417954342723,-200.0811336014665,2376.0024577987683,-45.8946403733011,28.85568840415031,1
-12479.738201172095,-552.3008387506908,-125.25276246078867,118.23736472841892,-17.001296732124203,104.4258369428531,1
8200.419295225598,-606.9104234762622,-198.8573756639351,-411.89543170522916,-60.68821285631751,-397.6185001309784,1
-10968.135840526435,-579.4921374004971,-136.91169412364601,190.04651478726316,9.096059743626425,94.18467746723768,0
-8224.210452503748,-506.6256228879276,-178.4852472468061,214.46875628061096,-32.3395613919518,-44.44998459103257,1
-2487.909211118366,-545.1251189632293,-36.99546976128867,-807.2933864066473,-28.97915126725772,-196.46794998981636,0
-14979.343700856964,-162.91383142907665,-199.3839188588505,196.31923178903853,-13.073608241189394,-177.90244726387158,1
-12840.17712680851,-552.1093655058801,-181.82400349215445,2226.215637456087,-18.11544212605907,194.14700823873423,1
-16412.8614782021,-70.4699692118393,-173.39093795326653,138.46731137926648,-8.878254929135126,-226.52475879015006,0
8244.885659895672,-622.7917038903284,-134.13360147589455,-409.8004461685758,32.17906312525635,-381.14422572367147,1
-7498.387363956747,-616.5813894552384,-105.08885793079423,-553.8857434507569,-24.892869454609936,11.62822683448204,0
4216.025406044834,-908.1776299994415,-162.49261576421748,958.2738284960125,55.66497093108264,32.6483534041848,0
12745.181927411073,-1179.4320402275966,-156.74589012146652,370.60683817353527,-48.533470813941385,31.595735979736187,1
-15004.627940493136,-179.62122275837808,-58.53328746953156,2168.4779020889437,-34.25513247958251,-85.35218974578807,1
12009.789040429174,884.9261376668986,-53.28726505857133,-74.11078407689985,33.38551510296683,-86.30890591125221,1
515.9137472545724,-1134.9401567882276,-155.23480070284867,610.2041359207017,-35.44964816351015,312.84212945808923,1
2163.8801436820986,-1313.8241541730229,-156.26048964342644,781.8663881592347,-42.245841852645974,438.6080067164454,1
17719.13901312838,-1879.6833598901305,-153.40712825255366,-52.320875270237195,-44.11832740516623,516.0718216372411,0
8255.921813972893,-627.3754589295046,-129.99402118785878,-427.7312028629291,142.18572866152994,-370.71925924861284,1
10627.041781570486,1412.927532284791,-190.75628833701504,-135.73400506415888,-26.569093778053304,-373.1867329178802,0
-1482.3581632501293,5727.58045591289,-218.37084614762958,-355.45755438372856,5.536751100658117,177.91299712508115,1
3367.7353451361096,-1049.389838208322,-100.57535698223619,-606.6345128047964,17.723987203244935,115.85402401441036,1
-738.3810924650859,-795.0724211727575,-173.4169592807276,-349.4813209628924,-1.5090248722574235,9.229495811333432,1
1619.8481110961623,-1136.3461392791278,-152.03368360972473,-722.9128227565501,-21.18633933888896,234.37698462564123,1
